Link,Occurred,City,State,Country,Shape,Summary,Reported,Media,Explanation
Open,09/22/2024 21:01,,AB,Canada,Formation,"Lights out cockpit, 38k ft over rural Alberta. No aircraft reported in the area. Object would be at approx 32k ft",10/07/2024,Y,
Open !,09/22/2024 1:30,La Crosse,WI,USA,Orb,Hovering above the ground and then accelerated away a great speed.,09/26/2024,,
Open !,09/18/2024 13:00,League City,TX,USA,Sphere,I saw a dark basketball sized sphere passing my window while flying a small plane.,09/18/2024,,
Open,09/17/2024 20:10,Pecos,TX,USA,Light,I was traveling NNW and saw a bright light about 15°east of my direction of travel. Saw a bright white/blue light very intense.,09/17/2024,,
Open !,09/17/2024 14:26,Avenal,CA,USA,Cylinder,ATC report of Pilot Sighting,09/17/2024,,
Open !,09/17/2024 14:25,Reef Station,CA,USA,Cylinder,Gray cylinder passing 10ft underneath military aircraft,09/17/2024,,
Open,09/14/2024 19:00,Mesa,AZ,USA,Triangle,A phenomenon that appeared in the stratosphere moved slowly west to east and faded from view as civil twilight ended.,09/14/2024,,
Open,09/13/2024 23:00,Allison,TX,USA,Orb,These were lights fading in and out following irregular patterns identical to Marfa lights,09/14/2024,,
Open,09/12/2024 6:40,Fishers,IN,USA,Light,Light with cone shaped cloud,09/12/2024,Y,Rocket
Open,09/12/2024 5:39,Chisago City,MN,USA,Light,Bright object drifting northeast from our home,09/12/2024,Y,
Open !,09/08/2024 21:23,Oostende,West Flanders,Belgium,Orb,Approx. 5-foot wide orb that was the mixed color of fire encapsulated in glass hovered above rural tree line before disappearing,09/23/2024,,
Open,08/30/2024 2:44,,CO,USA,Light,Pilots observed bright lights moving in an unusual manner in the sky above Colorado,08/29/2024,,
Open !,08/28/2024 23:00,,,International Waters,Light,Up to six satellite appearing lights under and to west of Big Dipper tail,08/31/2024,Y,
Open,08/26/2024 14:17,Hood River,OR,USA,Unknown,Was taking zoomed in pictures of a 4 engine jet for a wallpaper on my phone.,08/31/2024,Y,Bird?
Open !,08/23/2024 12:07,Boston,MA,USA,Star,Viewed from the flight deck by both pilots and a cabin crew,08/24/2024,,
Open,08/17/2024 23:20,Florissant,CO,USA,Unknown,"Eratic Moving ""Stars""",08/19/2024,,
Open !,08/15/2024 23:58,Sterling,Illinois,United States,Orb,My Co-pilot a former Airforce pilot pointed out 3 objects to my attention.,08/17/2024,,
Open,08/13/2024 22:40,Wuppertal,North Rhine-Westphalia,Germany,Fireball,Initially we thought this was a meteor but it moved slowly across the sky.,08/18/2024,Y,Contrail
Open,08/13/2024 16:45,Reston,VA,USA,Orb,"2 orbs in parallel with one in trail, then formed a perfect triangle, two vanished, 10 seconds later the third disappeared as well",08/13/2024,,
Open,08/12/2024 23:30,Westminster,MD,USA,Cylinder,see attahced papaers,08/13/2024,Y,
Open,08/12/2024 19:09,Chicago,IL,USA,Orb,"6 bright lights over downtown Chicago, and a 7th flew by as well",08/12/2024,Y,Balloons?
Open !,08/01/2024 3:40,Fort Edward,NY,USA,Cigar,Bright green cigar shaped craft flies past our plane,08/08/2024,,
Open,07/13/2024 22:45,Seffner,FL,USA,Star,Unknown lights north of Tampa,07/17/2024,Y,
Open !,07/12/2024 11:00,Eagle Grove,IA,USA,Rectangle,20 foot drone-like box.,07/14/2024,Y,
Open,07/08/2024 21:00,Morley,England,United Kingdom,Star,"Object hovered over house, looked like a star, police dismissed as possible drone due to height. Couldn't find telescope, object disapp",07/08/2024,,Drone?
Open,07/05/2024 17:00,Middletown Township,NJ,USA,Changing,"A Blackhawk helicopter passed over at less than 1000ft, during which I noticed me a bright white object several thousand above.",07/06/2024,,
Open,06/28/2024 1:30,Plattsmouth,Nebraska,United States,Formation,"Lights in the west 45° above the horizon approximately 4 miles in the distance, objects moved slowly at first an left",07/16/2024,Y,
Open,06/21/2024 21:30,Whitewater,CA,USA,Cylinder,The object was photographed while photographing the full moon,06/22/2024,Y,
Open !,06/16/2024 14:59,Anchor Point,AK,USA,Cigar,Large object hovering over summit of Redoubt volcano,06/19/2024,Y,
Open !,06/11/2024 0:31,,,Unspecified,Orb,"Lights in low earth orbit illuminating brightly then fading, staying stationary, then moving in multiple directions, then orbiting",06/28/2024,,
Open,06/10/2024 6:00,Agua de Castilla,Departamento de Potosí,Bolivia,Circle,"A flying object with flashes of various colors was spotted at about 10,000 feet and was descending",06/10/2024,Y,
Open,06/08/2024 16:30,Summerville,SC,USA,Oval,I saw one irregular black object. My picture shows up to 11 maybe more,06/08/2024,,
Open,05/31/2024 21:06,Hemet,CA,USA,Light,Bright White Light with Foggy Glow but clear skys,05/31/2024,,Rocket
Open,05/25/2024 20:55,Tacoma,WA,USA,Formation,Formation of craft/objects,07/09/2024,Y,Balloon
Open,05/22/2024 21:05,,,Unspecified,Orb,Hourglass haze flying over South Las Vegas,05/22/2024,Y,Rocket
Open,05/22/2024 20:39,Spokane,WA,USA,Circle,Analysis of Large circular object hovering 4 min.'s,05/24/2024,Y,
Open,05/22/2024 19:39,Spokane,WA,USA,Circle,Extremely bright white orb or circle over,05/23/2024,Y,
